"Gel","Telomere.ID","Individual.Treatment","Capture.Date","Site","Nest","Age","Mass","Bill.Head","Flat.Wing","Nestling.Fate","Mean.TRF","X","X.1","X.2","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
3,"T21N310","Cold_Cold",2021-06-15,"Unit_2",123,12,"17.6","26.4","57","Fledged",9.06,NA,NA,NA,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
3,"T21N311","Cold_Cold",2021-06-15,"Unit_2",123,12,"17.6","26.2","55","Fledged",10.62,NA,NA,NA,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
3,"T21N312","Cold_Cold",2021-06-15,"Unit_2",123,12,"19.1","26.5","58","Fledged",11.36,NA,NA,NA,166,2021,16.2962962962963,18.3333333333333,21.7037037037037,18.0222222222222,4
4,"T21N175B","Cold_Control",2021-06-11,"Unit_2",18,10,"20.9","25.5","47","Fledged",8.81,NA,NA,NA,162,2021,22.3333333333333,25.5555555555556,NA,NA,NA
4,"T21N183B","Cold_Control",2021-06-12,"Unit_1",25,10,"18.6","25","45","Dead",10.7,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,NA,NA,NA
4,"T21N192B","Cold_Control",2021-06-12,"Unit_2",120,10,"22.3","26.6","51","Fledged",7.94,NA,NA,NA,163,2021,21.0740740740741,25.5555555555556,NA,NA,NA
4,"T21N211","Cold_Control",2021-06-13,"Unit_1",81,10,"22","27.4","46","Fledged",9.49,NA,NA,NA,164,2021,24.7777777777778,28.8888888888889,22.0833333333333,18.3287037037037,4
4,"T21N234","Cold_Cold",2021-06-14,"Unit_1",13,12,"20","26.4","60","Fledged",8.43,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
4,"T21N241B","Cold_Control",2021-06-14,"Unit_1",25,12,"18.2","26.4","56","Dead",10.54,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,NA,NA,NA
4,"T21N251","Cold_Cold",2021-06-14,"Unit_1",62,12,"14.1","24.3","40","Dead",9.73,NA,NA,NA,165,2021,20.3333333333333,24.4444444444444,22.2916666666667,18.3935185185185,4
