"gel","Telomere_Sample_nb","Mean_TRF","Individual_Band","Individual_Treatment","Age","Site","Nestling_Fate","Exp_Year","Experiment","Capture_Date","Nest","Mass","Bill.Head","Flat_Wing","Blood_DNA_Sample_nb","yday","year","avgC_capture_day","maxC_capture_day","incubation_max_temp","incubation_avg_temp","incubation_below_18.5"
4,"T21N359",8.75,281174684,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,21,19.2,26.2,54,210645,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N360",9.24,281174685,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,21,19.7,26.2,60,210646,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N361",8.39,281174686,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,21,20.7,25.7,59,210647,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N362",9.62,281174687,"Prev_Cort",12,"Unit_2","Fledged",2021,"Carryover",2021-06-16,21,21.6,27,60,210648,167,2021,16.3703703703704,19.4444444444444,21.3703703703704,17.7728395061728,4
4,"T21N397",9.1,288135331,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,16.3,23.8,54.5,210684,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N398",10.96,288135332,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,18.3,25.9,52,210685,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N399",8.93,288135333,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,16,25.8,45,210686,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N400",9.22,288135334,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,16.1,22.4,39.5,210687,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N401",9.98,288135335,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,16.8,25.1,47,210688,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N402",9.39,288135336,"Prev_Cort",12,"Unit_1","Fledged",2021,"Carryover",2021-06-17,104,17,24.7,50,210689,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N404",10.34,272108282,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,116,20.5,26.5,60,210705,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
4,"T21N405",9.49,272108283,"Prev_Control",12,"Unit_2","Fledged",2021,"Carryover",2021-06-17,116,20.5,26.7,61,210706,168,2021,18.4814814814815,22.2222222222222,21.2962962962963,17.7703703703704,4
